cand_id,source_type,title,authors,year,identifiers,locator,provenance_query,provenance_url,status,note
C-B3-001,journal_article,Epidemiology of Creutzfeldt-Jakob Disease in the US,Crane MA et al.,2024,jamaneurology-2812784,JAMA Neurology,q7-gbd-daly,https://jamanetwork.com/journals/jamaneurology/fullarticle/2812784,DEDUPED,dados 2007-2020 (5882 casos; alta 1.05->1.47/milhao)
C-B3-002,journal_article,The importance of ongoing international surveillance for CJD,Watson N et al.,2021,doi:10.1038/s41582-021-00488-7,Nature Reviews Neurology,q7-gbd-daly,https://www.nature.com/articles/s41582-021-00488-7,VERIFYING,185 citacoes; vigilancia internacional
C-B3-003,journal_article,Epidemiological characteristics of human prion diseases,Chen C et al.,2016,doi:10.1186/s40249-016-0143-8,Infect Dis Poverty,q7-gbd-daly,https://link.springer.com/article/10.1186/s40249-016-0143-8,VERIFYING,PRE-2021 classico 220 cit
C-B3-004,journal_article,2.7 A cryo-EM structure of ex vivo RML prion fibrils,Manka SW et al.,2022,doi:10.1038/s41467-022-30457-7,Nature Communications,q8-prp-estrutural,https://www.nature.com/articles/s41467-022-30457-7,VERIFYING,187 citacoes
C-B3-005,journal_article,A structural basis for prion strain diversity (2.6 A cryo-EM),Manka SW et al.,2023,PMCID PMC10154210,PMC,q8-prp-estrutural,https://pmc.ncbi.nlm.nih.gov/articles/PMC10154210/,VERIFYING,116 citacoes
C-B3-006,journal_article,Prion strains viewed through the lens of cryo-EM (review),Manka SW et al.,2022,PMCID PMC10113314,PMC,q8-prp-estrutural,https://pmc.ncbi.nlm.nih.gov/articles/PMC10113314/,VERIFYING,review 37 cit
C-B3-007,journal_article,Genetic prion disease mutation E196K cryo-EM fibril structure,Wang LQ et al.,2021,doi:10.1126/sciadv.abg9676,Science Advances,q8-prp-estrutural,https://www.science.org/doi/10.1126/sciadv.abg9676,VERIFYING,48 citacoes; prion GENETICA (paralelo E200K)
C-B3-008,journal_article,The Positively Charged Cluster in the N-terminal region of PrP,Lee CH et al.,2024,SD S0022283624001712,J Mol Biol,q8-prp-estrutural,https://www.sciencedirect.com/science/article/abs/pii/S0022283624001712,VERIFYING,
C-B3-009,preprint,Cryo-EM of prion strains from the same genotype (22L; 3.2 A),(autores no texto),2022,biorxiv-2022.09.19.508587,bioRxiv,q8-prp-estrutural,https://www.biorxiv.org/content/10.1101/2022.09.19.508587v1.full-text,VERIFYING,completar autores
C-B3-010,database,EMD-0931: cryo-EM amyloid fibril full-length human PrP,EMDB/EMBL-EBI,N/A,EMD-0931,ebi.ac.uk/emdb/EMD-0931,q8-prp-estrutural,https://www.ebi.ac.uk/emdb/EMD-0931,VERIFYING,deposito estrutural (dado primario)
C-B3-011,journal_article,Role of Model-Informed Drug Development in regulatory review,Madabushi R et al.,2022,PMCID PMC9097888,PMC,q9-regulatorio-midd,https://pmc.ncbi.nlm.nih.gov/articles/PMC9097888/,VERIFYING,235 citacoes; MIDD regulatorio
C-B3-012,guidance,M15 General Principles for Model-Informed Drug Development,FDA,N/A,fda-m15,fda.gov,q9-regulatorio-midd,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m15-general-principles-model-informed-drug-development,VERIFYING,GUIDANCE oficial - ancora direta do 4.3
C-B3-013,web_institutional,Model-Informed Drug Development Paired Meeting Program,FDA,N/A,url-fda-midd-paired,fda.gov,q9-regulatorio-midd,https://www.fda.gov/drugs/development-resources/model-informed-drug-development-paired-meeting-program,VERIFYING,programa regulatorio ativo
C-B3-014,journal_article,Advancing drug development with Fit-for-Purpose modeling (MIDD),Sheng J et al.,2025,doi:10.1007/s10928-025-09995-2,Pharm Res,q9-regulatorio-midd,https://link.springer.com/article/10.1007/s10928-025-09995-2,VERIFYING,23 citacoes
