cand_id,source_type,title,authors,year,identifiers,locator,provenance_query,provenance_url,status,note
C-B1-001,journal_article,Leveraging the dominant-negative effect of the kuru G127V prion protein variant,Gatdula JRP et al.,2026,SD S0969996126002512,ScienceDirect,q2-prp-v127,https://www.sciencedirect.com/science/article/pii/S0969996126002512,DEDUPED_JA_NO_REGISTRO,possivelmente ja no registro (changelog v1.1 PMID 41757113) - DEDUPE
C-B1-002,preprint,Leveraging the dominant-negative effect of the kuru variant (bioRxiv),Gatdula JRP et al.,2026,bioRxiv 2026.02.17.703887,biorxiv.org,q2-prp-v127,https://www.biorxiv.org/content/10.64898/2026.02.17.703887v1.full-text,DEDUPED_JA_NO_REGISTRO,mesmo estudo de C-B1-001 - manter UMA versao
C-B1-003,journal_article,A Step-by-Step Workflow for Performing In Silico Clinical Trials (ISCT),Cortes-Rios J et al.,2025,doi:10.1002/psp4.70122,PMC12706418,q3-in-silico,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1002/psp4.70122,VERIFYING,ancora metodologica p/ 2.2 e Cap.5
C-B1-004,journal_article,In Silico Clinical Trials in Drug Development: A Systematic Review,Chen B et al.,2026,doi:10.1007/s43441-025-00893-w,Advances in Therapy,q3-in-silico,https://link.springer.com/article/10.1007/s43441-025-00893-w,VERIFYING,review sistematico ISCT
C-B1-005,journal_article,A quantitative systems pharmacology workflow toward optimal design,Go N et al.,2024,S0091-6749(24)00158-1,JACI,q3-in-silico,https://www.jacionline.org/article/S0091-6749(24)00158-1/fulltext,VERIFYING,QSP trial-design
C-B1-006,journal_article,Quantitative systems modeling approaches towards drug discovery,Verma M et al.,2022,doi:10.3389/fsysb.2022.1063308,Front Syst Biol,q3-in-silico,https://www.frontiersin.org/journals/systems-biology/articles/10.3389/fsysb.2022.1063308/full,VERIFYING,
C-B1-007,trial_registry,PrProfile: Safety/Tolerability/PK/PD of intrathecal ION717 (NCT06153966),Ionis Pharmaceuticals,2023,NCT06153966,clinicaltrials.gov,q1-prion-therapeutics,https://clinicaltrials.gov/study/NCT06153966,VERIFYING,trial competidor-complemento citado na tese
C-B1-008,web_log,ION717 trial re-opens with 3rd dosing regimen,Minikel SM (cureffi.org),2026,url-cureffi-2026-03-17,cureffi.org,q1-prion-therapeutics,https://www.cureffi.org/2026/03/17/ion717-trial-reopens/,VERIFYING,fonte primaria-adjacente
C-B1-009,science_news,Hope for prion disease (ION717 PrP-lowering),ASBMB Today,2025,url-asbmb-2025-07-15,asbmb.org,q1-prion-therapeutics,https://www.asbmb.org/asbmb-today/science/071525/hope-for-prion-disease-rare,VERIFYING,divulgacao - usar com nota de tipo
C-B1-010,journal_article,Structural effects of the highly protective V127 prion protein variant,Hosszu LLP et al.,2020,PMID 32728168,Commun Biol s42003-020-01126-6,q2-prp-v127,https://pubmed.ncbi.nlm.nih.gov/32728168/,DEDUPED_JA_NO_REGISTRO,PRE-2021: conta p/ total nao p/ recencia
C-B1-011,journal_article,Structural basis for the complete resistance of human V127M129 prion protein,Zheng Z et al.,2018,doi:10.1038/s41598-018-31394-6,Scientific Reports,q2-prp-v127,https://www.nature.com/articles/s41598-018-31394-6,DEDUPED_JA_NO_REGISTRO,PRE-2021
C-B1-012,journal_article,Antisense oligonucleotides extend survival of prion-infected mice,Raymond GJ et al.,2019,PMCID PMC6777807,JCI,q1-prion-therapeutics,https://pmc.ncbi.nlm.nih.gov/articles/PMC6777807/,VERIFYING,PRE-2021 classico ASO
