cand_id,source_type,title,authors,year,identifiers,locator,provenance_query,provenance_url,status,note
C-B2-001,journal_article,Updated global epidemiology atlas of human prion diseases,Gao LP et al.,2024,PMCID PMC11208307,PMC,q4-epidemiologia,https://pmc.ncbi.nlm.nih.gov/articles/PMC11208307/,VERIFYING,27872 PrD / 34 paises - ancora principal do anexo P2.1
C-B2-002,journal_article,Nationwide trend analysis of incidence and mortality of CJD (Japao),Nishimura Y et al.,2020,doi:10.1038/s41598-020-72519-0,Scientific Reports,q4-epidemiologia,https://www.nature.com/articles/s41598-020-72519-0,VERIFYING,PRE-2021
C-B2-003,web_dashboard,CJD in Canada - Dashboard (Health Infobase),PHAC,N/A,url-health-infobase,canada.ca,q4-epidemiologia,https://health-infobase.canada.ca/diseases/cjd/dashboard.html,VERIFYING,institucional; sCJD 85-95%
C-B2-004,web_institutional,Classic Creutzfeldt-Jakob Disease (CDC),CDC,N/A,url-cdc,cdc.gov,q4-epidemiologia,https://www.cdc.gov/creutzfeldt-jakob/about/index.html,DEDUPED,1-2/milhao/ano; 500-600 EUA
C-B2-005,fact_sheet,CJD FACT SHEET 2021,CJD Foundation,2021,url-cjdfnd-2021,cjdfoundation.org,q4-epidemiologia,https://cjdfoundation.org/shared-files/5696/?CJD-FACT-SHEET-2021.pdf,VERIFYING,1-2/milhao/ano
C-B2-006,science_news,CJD on the rise in the US (2007-2020; 1.05->1.47/milhao),Neurology Today,N/A,doi:10.1097/01.NT.0001006340.74111.83,neurologytoday.aan.com,q4-epidemiologia,https://neurologytoday.aan.com/doi/10.1097/01.NT.0001006340.74111.83,VERIFYING,ano de publicacao nao retornado - completar na verificacao
C-B2-007,journal_article,New implications for prion diseases therapy and prophylaxis (review),Liu F et al.,2024,PMCID PMC10944861,PMC,q5-terapia,https://pmc.ncbi.nlm.nih.gov/articles/PMC10944861/,VERIFYING,imunoterapia+genica+small molecules
C-B2-008,press_release,Clinical trial of prion drug candidate begins (PRiSM - PRP-targeting siRNA),Broad Institute,N/A,url-broad-prism,broadinstitute.org,q5-terapia,https://www.broadinstitute.org/news/clinical-trial-prion-disease-drug-candidate-begins-enrolling-participants,VERIFYING,NOVO competidor PrP-lowering; ano nao retornado
C-B2-009,thesis_review,Therapeutic Perspectives for Prion Diseases in Humans and Animals,Benavente R et al.,2024,url-uthgsbs-7151,digitalcommons TMC,q5-terapia,https://digitalcommons.library.tmc.edu/cgi/viewcontent.cgi?article=7151&context=uthgsbs_docs,VERIFYING,
C-B2-010,journal_article,Immunotherapy against Prion Disease,Ma Y et al.,2020,doi:10.3390/pathogens9030216,Pathogens 9(3):216,q5-terapia,https://www.mdpi.com/2076-0817/9/3/216,VERIFYING,PRE-2021
C-B2-011,journal_article,From in silico prediction to experimental validation,Salim EA et al.,2025,PMID 41427337,PubMed,q6-epistemologia,https://pubmed.ncbi.nlm.nih.gov/41427337/,VERIFYING,
C-B2-012,journal_article,From in silico prediction to cellular validation,Hankittichai P et al.,2026,SD S2667031326000692,ScienceDirect,q6-epistemologia,https://www.sciencedirect.com/science/article/pii/S2667031326000692,VERIFYING,
C-B2-013,journal_article,From In Silico Hypothesis to Validation: Role of Real-World Data (drug repurposing PD),Galuszewski M et al.,2026,doi:10.3390/jcm15072801,J Clin Med 15(7):2801,q6-epistemologia,https://www.mdpi.com/2077-0383/15/7/2801,VERIFYING,
C-B2-014,journal_article,Predictive Modelling in pharmacokinetics: from in-silico methods to AI,Paliwal A et al.,2024,doi:10.1080/17425255.2024.2330666,Expert Opin Drug Metab Toxicol,q6-epistemologia,https://www.tandfonline.com/doi/abs/10.1080/17425255.2024.2330666,VERIFYING,67 citacoes
C-B2-015,preprint,A Meta-Synthetic Taxonomy of Foresight Methodologies,(autores nao retornados),N/A,SSRN 5352605,SSRN,q6-epistemologia,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5352605,VERIFYING,autores/ano incompletos - completar; util p/ 2.2 familia
C-B2-016,report,"In Silico Trials: Verification, Validation and Uncertainty Quantification (credibilidade regulatoria)",(autores nao retornados),N/A,rg-338828201,ResearchGate,q6-epistemologia,https://www.researchgate.net/publication/338828201,VERIFYING,framework VVUQ; classico ~2020 - completar metadados
